image,prompt,Subcarpeta
imgi_849_USA1-1.jpg,"the statue of liberty and the american flag, usa flag, us flag, usa, america, american, american flag, american flag on background, american dream, american exceptionalism, united states, god bless america, american flag in background, american flags, patriotism, the blind liberty of the few, americana, ussa, american city, patriotic",sp
imgi_618_images.jpg,"miss usa 2014 - miss usa 2015 - miss usa 2015 - miss usa 2015 - miss usa 2015 - miss usa 2015 - miss usa 2015 - miss usa 2015 -, rendering of beauty pageant, miss universe, the crown is very high, coronation",sp
imgi_110_images.jpg,"a tall building, us flag, usa flag, american city, united states, usa, american flag, america, flag, american flags, american flag in background, ny, american, flags, america 2 0 9 8, street of new york, american flag on background, 9/11, 9 / 1 1, new york, patriotism, stars and stripes",sp
imgi_820_roaming-eeuu-vodafone.jpg,"a flag flying in the air over a city, american city, us flag, united states, usa flag, american flag, american flags, american flag in background, the hard and strong buildings, american flag on background, american exceptionalism, usa, stars and stripes, the blind liberty of the few, new york city background, american shot, new york background",sp
imgi_59_default.jpg,"the city skyline at night, panoramic photography, uhd hyperdetailed photography, 360 degree view, city birds eye view, cities flourishing, wide angle lens photography, full width, highrise buildings, blog-photo, super wide view of a cityscape, empyrean city, wide angle landscape photography, city scape, 8k fine art photography, aerial photography",sp
imgi_271_images.jpg,"a large red rock, sedona's cathedral rock bluff, arizona, red sandstone natural sculptures, beatiful mountain background, arizona desert, canyon background, mountains background, orange rocks, unique landscape, canyons, rock formations, rocky landscape, rocks, tall stone spires, landscape with red mountains, background mountains, a mountain look like a women, large mountains in back, canyon",sp
imgi_66_default.jpg,"president obama giving a speech, photo of barack obama, obamna, resolute desk, president, obama, obama riding an unicorn, flames are burning behind obama, standing in the oval office, barack obama, the president, presidential, barack obama wearing sunglasses, five score years ago, portrait of barack obama, flag in his right hand, the world's biggest idiot",sp
imgi_380_images.jpg,"mount rush, mount rush, mount rush, mount rush, mount rush, mount rush, mount rush, mount rush, mount rush, mount, mount rushmore, monumental, a monumental, mount, monumental mountains, large stone statues of heroes, inspired by George Abe, wall, rocks, a mountain look like a women, five score years ago, large mountain, usa",sp
imgi_384_images.jpg,"a group of children standing in a circle, photo of a classroom, teaching, in a school classroom, school classroom, raised hands, school class, in a classroom, classroom, paris school, trending on artsation, school curriculum expert, american school, hands in air, ps 5, ps5, magic school, interconnections, raised hand, magical school, hands raised",sp
imgi_374_images.jpg,"a group of children sitting at a table, teaching, school curriculum expert, photo of a classroom, teacher, integrating with technology, american school, vancouver school, inside elementary school, paris school, school classroom, in a school classroom, school class, teacher as angry zombie, tosa school, northwest school, in a classroom, writing on a clipboard, classroom",sp
imgi_486_images.jpg,"a row of classic muscle cars parked in a parking lot, muscle cars, 5 hotrods driving down a street, americanoize, classic cars, red and blue, 2 0 1 0 s, 2010s, american flags, cars, mustang, americana, vintage cars, red tail lights, patriotic!, patriotic, patriotism, lightnings, red blue",sp
imgi_135_images.jpg,"a group of children holding an american flag, american flag on background, usa, america, usa flag, us flag, group of people, latino american, american school, a group of people, patriotism, americanoize, groups of people, america 2 0 9 8, any racial background, diverse faces, an american propaganda, american propaganda, we, english text",sp
imgi_237_images.jpg,"a view of the city skyline from a freeway, los angeles, los angeles ca, los angelos, los angeles 2 0 1 5, modern city background, american city, city background, huge modern downtown city, large city, beautiful city, huge city, ice city in 2 0 8 0, urban city background, big city, concrete jungle",sp
imgi_308_images.jpg,"the bridge is long, pch, malibu canyon, california coast, highway 5 0, california, high bridges, fairyland bridge, curved bridge, sky bridge, road to the sea, bridges, sky bridges, bridge, highway, bridge between the worlds, bridges crossing the gap, tall bridge with city on top, highway and sunset!!, guardrails",sp
imgi_466_images.jpg,"a group of people sitting in a room, photo of a classroom, school class, classroom, sitting in the classroom, in a classroom, school classroom, teaching, workshop, american barbizon school, in a meeting room, barbizon school, presentation, classroom in background, visual design school, damage class, science lab, reykjavik junior college, meeting room",sp
imgi_621_images.jpg,"a group of men standing in front of a fence, fbi raid, jeffery epstein, arrested, trending at gitmo, jeffrey epstein, fbi, criminals, donald trump in jail, criminal appearance, smuggler, special agent, criminal, crime photos, hands on hips, long line-up of suspects, donald trump in prison, human prisoners, shooting ice, ice",sp
imgi_292_images.jpg,"a crowd of people, cornell, pitt, below is the crowd, huge towering magical university, university, college party, ivory towers, full building, mcgill, in front of a large crowd, large crowd, crowd of people, crowds of people, huge crowd on drugs, crowded and populated, huge crowd, giant crowd, large crowds of peasants",sp
imgi_794_4th-of-July.jpg,"a group of people holding american flags, american flags, us flag, usa flag, american flag on background, vibrant colors americana, american flag, americana vibrant colors, fourth of july, american flag in background, patriotism, 4th of july, red white and black color scheme, stars and stripes, flags, red white and black colors, flag in hands",sp
imgi_105_images.jpg,"a group of people standing in front of a building, group of people, all looking at camera, full body in camera, group photo, group, a group of people, taking a selfie, alexandria ocasio cortez, trending photo, the last selfie ever taken, selfie photography, the last selfie on earth, influencers, alexandria ocasio-cortez",sp
imgi_14_images.jpg,"a view of the city from a hill, tropical coastal city, miami beach, waikiki beach skyline, miami, outdoors tropical cityscape, beautiful cityscape background, florida, gold coast australia, the emerald coast, sun coast, vice city, tropical climate, downtown jacksonville florida, long beach background, wallpaper - 1 0 2 4, beautiful magical palm beach, tropicalism",sp
imgi_232_images.jpg,"a sign that says welcome to the united states, american city, usa, back to us, ussa, united states, us flag, pacific northwest, usa flag, american, beautiful border, washington state, tourism, american dream, seattle, border, washington, america, america 2 0 9 8, welcoming, pacific northwest coast, welcome, american man, sign",sp
imgi_448_images.jpg,"a group of people standing on a beach, group of people, entourage, macguire is a tall, t pose, t-pose, t - pose, a group of people, the man stands out on the image, t-pose of male magic wizard, tall handsome guys, long arms, slender boy with a pale, tpose, standing on surfboards",sp
imgi_317_images.jpg,"new york, new york, new york, new york, new york, new york, new york, new york, new york, new, new york city background, new york background, new york skyline, new york city skyline, new york, ny, new york city, city sunset, golden hour in manhattan, detalized new york background",sp
imgi_444_images.jpg,"a city street with cars and people walking, taxis, taxi, street of new york, new york city, new york, times square, in new york, new york city background, time square, modern new york, new york background, streets of new york, new york in the future, in new york city, futuristic taxi, ny, busy streets",sp
imgi_724_images.jpg,"chicago skyline from above, chicago, chicago skyline, illinois, american city, beautiful city black woman only, large city, huge city, ice city in 2 0 8 0, beautiful city, il, big city, super wide view of a cityscape, modern chicago streets, cities flourishing, modern city background, city skyline, no buildings, city views, modern city scape",sp
imgi_80_images.jpg,"the city skyline at night, new york city background, new york background, new york in the future, night time city background, ny, new york city at night, new york city, modern new york, the city that never sleeps, new york, new york skyline, night - time city background, new york city skyline, concrete jungle, night city background, nyc",sp
imgi_314_images.jpg,"the skyline of new york, ny, cities flourishing, new york city background, new york city skyline, new york skyline, new york city as backdrop, toronto city, the city of toronto, new york background, new york, new york harbour, city scape, tall buildings, highrise buildings, new - york skyline in winter, modern city scape",sp
imgi_249_images.jpg,"two women standing on a porch with an american flag, vibrant colors americana, americana vibrant colors, us flag, american flags, american flag, colors red white blue and black, american flag on background, flag in hands, usa flag, american, 4th of july, usa volleyball, fourth of july, american flag in background, tie die shirt, stars and stripes",sp
imgi_192_images.jpg,"a group of girls standing on top of a building, new york city background, new york background, group, skycrapers, young women, group of people, in new york, group of people in an elevator, ny, a group of people, new york, with many travelers, tourism, group photo, sky - high view, flying angels, in new york city",sp
imgi_613_images.jpg,"three girls standing in front of the water, young women, three women, rule of threes, 3 young and beautiful women, high bridges, greta thunberg smiling, rule of three, young girls, bridges, 3 mary's, under bridge, bridge city, three people running a marathon, beautiful girls, pittsburgh, college girls, reds, girls",sp
imgi_581_images.jpg,"a large crowd of people, aircraft carrier scene, on aircraft carrier, on the deck of a ship, standing on ship deck, standing on a ship deck, flying ships in the background, on ship, warship, naval landscape, warships, an outdoor festival stage, aircraft carrier, uss nimitz, outside large window of ship, with water and boats",sp
imgi_804_Multi-City-Discount-Pass-USA-Empire-State-Building.jpg.webp,"the city skyline at night, new york city at night, detalized new york background, new york in the future, the city that never sleeps, new york city as backdrop, new york skyline, new york city background, lumion rendering, night time city background, skycrapers, modern new york, new york city skyline, new york background, new york",sp
imgi_407_images.jpg,"the view from the roof of a building in melbourne, boston massachusetts, boston, beautiful city, cities flourishing, in a city with a rich history, american city, fenway park, dirty water, city background, beautiful city of the future, beautiful cityscape, city in backround, magical city, lovecraft country, colonial, beautiful cityscape background, colorful city, cities",sp
imgi_301_images.jpg,"a large group of people, school courtyard, tosa school, people resting on the grass, american school, 2 0 0 0, 2000, heidelberg school, large environment, lawn, evergreen valley, northwest school, brandywine school, vancouver school, japanese high school, pv, high school, classroom in background, in a large grassy green field, university",sp
imgi_152_images.jpg,"the las skyline at night, las vegas, las vegas at night, las vegas strip, well lit night in las vegas, sin city, in las vegas, bernie goes to vegas, lv, american city, beautiful city, magical city, casino, fantasy city background, ice city in 2 0 8 0, beautiful city black woman only, fantasy city",sp
imgi_392_images.jpg,"a woman standing in a field with a dog, tourist, saluting, usa, hollywood, hollywood standard, aoc, american flag in background, los angeles, hollywood scene, los angeles 2 0 1 5, united states, tourist photo, famous, hollywood style, american, alexandria ocasio cortez, california;, alexandria ocasio-cortez",sp
imgi_323_images.jpg,"the city skyline at night, new york city at night, new york city background, new york skyline, new york city skyline, new york background, new york, ny, manhattan, night time city background, the city that never sleeps, new york city, new york harbour, city at night, american city, new york city as backdrop, modern new york",sp
imgi_467_images.jpg,"a group of people standing on a field, covered outdoor stage, on a football field, truck, rv, on a soccer field, trailer, soccer stadium, community celebration, drive in movie theater, in front of a large crowd, parade, “the ultimate gigachad, ambulance, people running away, van, monster truck, steel bull run, performing a music video",sp
imgi_214_images.jpg,"a city at night with a view of the mountains, albuquerque, idaho, new mexico, colorado, american city, small city, prison city, city of golden shadows, montana, beautiful small town, capital city, new mexico with a yellow filter, wyoming, city background, concentrated buildings, 303, desert city, large city, city quality lighting",sp
imgi_150_images.jpg,"a large rock formation, antelope canyon, orange rocks, inside a gorge, cave background, enclosed in rock, canyon background, the planet is warm with canyons, flowing lava, bright red desert sands, rocks, smooth cave rock, desert colors, canyons, cave art, dynamic folds, colors orange, organic swirling igneous rock, lava flowing",sp
imgi_57_default.jpg,"the skyline of new york, ny, cities flourishing, new york city background, new york city skyline, new york skyline, new york city as backdrop, toronto city, the city of toronto, new york background, new york, new york harbour, city scape, tall buildings, highrise buildings, new - york skyline in winter, modern city scape",sp
imgi_190_images.jpg,"two women in front of the statue of liberty, libertas, statue of liberty, on liberty island, photo of the statue of liberty, the statue of liberty, standing with her back to us, american flag on background, us flag, usa, american, usa flag, american flag in background, two women, america, god bless america, american flags, two girls",sp
imgi_811_usa-1.jpg,"two girls standing in front of a school bus, bus, girl wearing uniform, public bus, high school girls, passengers, dark blue clothes, greta thunberg smiling, decorative dark blue clothing, blue clothes, promotional movie still, school uniform, blue shirt, teenage female schoolgirl, blue uniform, buses, dark blue shirt, summer camp, promotional images, movie stills",sp
imgi_847_viajes-eeuu-usa-antelope-canyon.jpg,"a large rock formation in the middle of a canyon, antelope canyon, highly detailed rock structures, inside a gorge, rock formations, canyon topography, chiseled formations, the planet is warm with canyons, enclosed in rock, abstract nature landscape, geological strata, layers of strata, canyon background, red sandstone natural sculptures, canyons, cave background",sp
imgi_365_images.jpg,"a flag flies in the air over the corner of a building, us flag, usa flag, american flags, american flag, usa, america, united states, american flag in background, flag, american, flags, american flag on background, american city, patriotism, americana, american shot, an american propaganda, stars and stripes, patriotic, military flags, american propaganda",sp
imgi_144_images.jpg,"a woman holding a flag on top of a mountain, us flag, usa, usa flag, american flag, american, american flag in background, vibrant colors americana, american flags, grand canyon, antelope canyon, american flag on background, america, moab, arizona, americana, stars and stripes, american dream, patriotism, united states, grand canyon in background",sp
imgi_72_default.jpg,"an american flag flying in the sky, us flag, usa flag, american flag, flag, patriotism, usa, american flag on background, america, patriotic, american flags, american flag in background, patriotic!, god bless america, american, patriot, stars and stripes, flags, ussa, americana, colors red white blue and black, flag in hands up, american man",us
imgi_56_default.jpg,"the skyline of new york, ny, cities flourishing, new york city background, new york city skyline, new york skyline, new york city as backdrop, toronto city, the city of toronto, new york background, new york, new york harbour, city scape, tall buildings, highrise buildings, new - york skyline in winter, modern city scape",us
imgi_145_images.jpg,"new york skyline at night, new york background, new york city background, ny, detalized new york background, new york, new york in the future, new york skyline, new york city, new york city skyline, american city, concrete jungle, city background, huge city, large city, manhattan, modern new york, city in backround, in new york",us
imgi_273_images.jpg,"las, nevada, nevada, nevada, nevada, nevada, nevada, nevada nevada, nevada nevada, nevada, las vegas, las vegas at night, well lit night in las vegas, las vegas strip, sin city, in las vegas, ice city in 2 0 8 0, the city that never sleeps, beautiful city black woman only, american city, beautiful city",us
imgi_312_images.jpg,"the american flag flies high above the skyscrapers of new york, american city, us flag, usa flag, usa, american flag, the hard and strong buildings, american flags, concentrated buildings, america, united states, fully built buildings, us court, america 2 0 9 8, american, american progress, american flag in background, usa-sep 20",us
imgi_758_pexels-photo-973049.jpg,"a flag flying in the air, us flag, american flags, american flag, usa flag, american flag on background, american flag in background, the blind liberty of the few, american exceptionalism, flag, vibrant colors americana, inspired by James Montgomery Flagg, stars and stripes, americana vibrant colors, patriotism, flags, fourth of july, american shot",us
imgi_375_images.jpg,"people wave american flags as they march in washington, usa, on march 26, 2018, us flag, usa flag, american flag on background, american flags, american flag, american flag in background, patriotism, patriotic, usa, flags, america, patriotic!, stars and stripes, navy flags, flag in hands, american, 4th of july",us
imgi_151_images.jpg,"the statue of liberty, statue of liberty, the statue of liberty, photo of the statue of liberty, inspired by Peter Fiore, new york, on liberty island, by Jeff A. Menges, new york city, in new york, large stone statues of heroes, liberty statue sitdown pose, the blind liberty of the few, united states, new york harbour",us
imgi_60_default.jpg,"statue of liberty and american flag, us flag, usa flag, usa, united states, america, american, patriot, american city, photo of the statue of liberty, the blind liberty of the few, the statue of liberty, usa-sep 20, american man, statue of liberty, american flag, american flag on background, ussa, if usa was a monarchy",us
imgi_724_shutterstock-796865242.jpg,"the us flag flies in front of the capitol building, us flag, capitol building, capitol hill, usa flag, american flag on background, state of the union, classified government archive, american flag in background, american flag, flag, american flags, technocracy, american progress, stars and stripes, united states, the blind liberty of the few, national archives",us
imgi_341_images.jpg,"the virgin of zion in zion canyon, utah, sedona's cathedral rock bluff, canyon background, grand canyon, arizona, landscape with red mountains, utah, large rocky mountain, canyon, american west scenery, canyon topography, bryce 3d, bryce 3 d, arizona desert, canyons, rocks, the planet is warm with canyons, red sandstone natural sculptures",us
imgi_503_images.jpg,"the city skyline at sunset, new york background, new york city background, new york, manhattan, new york city, ny, new york skyline, american city, new york city skyline, modern new york, in new york, concrete jungle, new york in the future, detalized new york background, golden hour in manhattan, watching new york, nyc",us
imgi_34_default.jpg,"a tall building, us flag, usa flag, american city, united states, usa, american flag, america, flag, american flags, american flag in background, flags, american, ny, america 2 0 9 8, street of new york, american flag on background, new york, trump tower, us court, stars and stripes, 9/11",us
imgi_285_images.jpg,"a view of the city skyline from the top of the brooklyn bridge, ny, new york city background, new york skyline, new york background, new york city skyline, concrete jungle, new york in the future, nyc, skyline view from a rooftop, new york, super wide view of a cityscape, manhattan, modern new york, new york city",us
imgi_427_images.jpg,"a man in a kayak pada in the grand canyon, photo of green river, grand canyon, 3 boat in river, grand canyon | golden hour, canyon topography, wide angle river, mountains and rivers, massive river, on a floating rock island, outdoors mesa setting, grand canyon in background, giant river, canyon background, canyons, small canoes",us
imgi_263_images.jpg,"a family standing in front of their house with american flags, people looking at a house, latino american, hgtv, happy family, house and home, portrait of family of three, groups of happy people, of a family standing in a park, we, families playing, the american dream, group of people, selling insurance, pictures of family on wall, alexandria ocasio cortez",us
imgi_654_images.jpg,"the usa team celebrates their gold medals at the 2012 summer olympics, gold metals, elites, photo from the olympic games, sports photo, summer olympics footage, winning photo, thunders, laurels of glory, holding gold, american exceptionalism, impressive winning photo, wearing track and field suit, showing victory, usa, red and blue garments",us
imgi_346_images.jpg,"the skyline of new york, ny, cities flourishing, new york city background, new york city skyline, new york skyline, new york city as backdrop, toronto city, the city of toronto, new york background, new york, new york harbour, city scape, tall buildings, highrise buildings, new - york skyline in winter, modern city scape",us
imgi_291_images.jpg,"a col of a football team, sports, nfl, patriot, channel 4, sports logo, sports photo, sports setting, flag in hands, canines sports photo, samoan features, football, the texas revolution, emerging hands, sports broadcast, patriotism, youtube thumbnail, patriotic, celebrities, red and blue, 4th of july, usa, representing liberty, football player",us
imgi_190_images.jpg,"a person holding an american flag in a field, patriotism, patriot, usa flag, us flag, america, patriotic, flag in hands, usa, patriotic!, american flag, americana, american flag on background, american flags, country, god bless america, american flag in background, american, americanoize, vibrant colors americana, stars and stripes, flag in hands up",us
imgi_402_images.jpg,"a man standing on a cliff overlooking the grand canyon, grand canyon, grand canyon in background, canyon background, canyon topography, american west scenery, canyon, arizona desert, gravel and scree ground, brown canyon background, arizona, large rocky mountain, canyons, mesa plateau, grand canyon | golden hour, hopi kachina, top of a canyon, large mountain",us
imgi_450_images.jpg,"new york skyline at dusk, new york city background, new york background, new york skyline, new york city skyline, ny, new york, new york city, new york city as backdrop, new york in the future, manhattan, detalized new york background, nyc, new york backdrop, modern new york, in new york, new york harbour, city background",us
imgi_326_images.jpg,"a baseball player running on a field, pedro correa, baseball, pablo perdomo, the red sox left fielder, sports photo, photo from the olympic games, toru furuya, sports, olympics, perfect dynamic posture, female baseball player, perfect dynamic position, tyler miles lockett, ichi-up, tatsuro kiuchi, stride",us
imgi_646_images.jpg,"the city of edinburgh at night, washington dc, dc, destroyed washington dc, capitol hill, capital city, city background, city twilight landscape, beautiful cityscape background, night time city background, city in backround, cornell, beautiful city black woman only, urban city background, night - time city background, in a city with a rich history, vista of a city at sunset",us
imgi_177_images.jpg,"a statue of liberty, photo of the statue of liberty, the statue of liberty, statue of liberty, statue of the perfect woman, statue of a perfect woman, the blind liberty of the few, libertas, statue, statue of liberty at left, a statue, standing with her back to us, united states, usa, statue of a woman, ny, america",us
imgi_159_images.jpg,"the statue of liberty and the american flag, us flag, usa flag, american city, usa, united states, american flag, america, ny, new york city background, new york background, flag, american flag in background, new york skyline, new york, american flags, detalized new york background, american flag on background, american, patriotic",us
imgi_580_images.jpg,"a man in an orange shirt and orange helmet is standing on a rope, orange and green power, wearing adventure gear, wearing hi vis clothing, defence, above a forest, in a jungle environment, belaying, jungle in background, amazon jungle, iso-250, amazon rainforest background, hanging from a tree, worksafe, rainforest background",us
imgi_385_images.jpg,"the england team stand for a minute silence before the match, patriotism, at the world cup, flag in hands, usa, patriotic, procreate 2 0 2 2, slovenian, patriotic!, us flag, american flag on background, luka mivsek, athletic tall handsome guys, usa volleyball, patriot, libertas, usa flag, flag in hands up, american flags",us
imgi_391_images.jpg,"a person walking down a street in front of a gas station, gas station, petrol aesthetic, petrol energy, “gas station photography, inside a gas station, ruined gas station and cars, gas, abandoned gas station, gas station in space, petrol, petroleum vitamin, petros, golden hour scene, convenience store, luisiana, bar, oil, route 6 6",us
imgi_90_images.jpg,"a person holding an american flag, usa flag, us flag, patriotism, american flag, flag, patriotic, america, usa, american flags, american flag on background, patriot, patriotic!, american flag in background, americana, stars and stripes, god bless america, americanoize, flags, american, vibrant colors americana, flag in hands, 4th of july",us
imgi_387_images.jpg,"the capitol building, capitol building, capitol hill, dc, washington, washington dc, capitol riot, ssci-fi, ssci - fi, capital city, monumental, pink marble building, united states, classified government archive, state of the union, a monumental, the temple of truth is white, library of congress, capital, destroyed washington dc",us
imgi_63_default.jpg,"the us capitol building, us flag, usa flag, flag, capitol building, capitol hill, american flag, american flag on background, american flag in background, flags, state of the union, american flags, patriot, navy flags, usa, united states, dc, patriotism, stars and stripes, aoc, ssci - fi, ssci-fi, america",us
imgi_30_default.jpg,"the statue of liberty at sunset, photo of the statue of liberty, the statue of liberty, statue of liberty, ny, new york city background, statue of liberty at left, new york background, new york, american city, new york city, the blind liberty of the few, new york skyline, in new york, detalized new york background, united states",us
imgi_588_images.jpg,"a view of the grand canyon, grand canyon, canyon background, grand canyon in background, canyon, canyon topography, grand canyon | golden hour, arizona desert, canyons, arizona, wildlife, top of a canyon, beatiful mountain background, brown canyon background, american west scenery, mountain range, gorge in the mountain, the planet is warm with canyons",us
imgi_168_images.jpg,"the u s treasury building in washington, us flag, usa flag, american flag, flag, usa, american flags, patriotism, american flag in background, united states, american flag on background, america, american, flags, patriotic, us court, patriotic!, stars and stripes, american exceptionalism, americana, patriot, red white and black",us
imgi_537_images.jpg,"a large building with a tree in front, cornell, by Sydney Prior Hall, huge towering magical university, university, academia, mcgill, academic, ivory towers, magic uniform university, architectural and tom leaves, warmly lit, magical school, hogwarts setting, academism, american school, the fall season, private school, magic school, lovecraft country, hogwarts, academic clothing",us
